annee,boite,carburant,departement,kilometrage,prix,titre,ville
2014,Manuelle,Diesel,33000,97000,12990,AUDI A3 110CH 97 000KM 2015 PEINTURE NEUVE GPS XÉNON… REPRISE POSSIBLE,Bordeaux
1986,Manuelle,Essence,33000,116000,4990,RENAULT 4L 1986 JANTES ALPINE CT OK URGENT,Bordeaux
2019,Automatique,Essence,6200,35500,38000,MERCEDES CLA 200 AMG EDITION ONE,Nice
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2015,Automatique,Essence,89100,59000,32890,MERCEDES CLA CLASSE SHOOTING BRAKE 45 AMG 4MATIC,Sens
2016,Automatique,Essence,33160,67500,25990,MERCEDES-BENZ CLASSE A III (W176) 250 FASCINATION VERSION SPORT 7G-DCT AMG TOIT OUVRANT PANORAMIQUE,Saint-Médard-en-Jalles
2019,Automatique,Essence,92600,26988,27990,MERCEDES CLA CLASSE STARLIGHT 200 156 7G-DCT,Asnières-sur-Seine
2015,Manuelle,Essence,59282,61769,21600,MERCEDES CLA CLASSE SENSATION 180 122,Douchy-les-Mines
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2018,Automatique,Diesel,35610,26800,26700,MERCEDES CLA 200 D. SENSATION 136,Trans-la-Forêt
2016,Automatique,Diesel,89150,151000,15100,MERCEDES CLA SHOOTING BREAK,Villebougis
2015,Automatique,Essence,51390,36500,21990,MERCEDES CLA CLASSE 180 FASCINATION AMG 7G-TRONIC4,Gueux
2016,Automatique,Diesel,33160,99800,28990,MERCEDES C220 COUPÉ 2.2 CDI 16V 170CV 9G-TRONIC PACK AMG SPORTLINE,Saint-Médard-en-Jalles
2018,Automatique,Diesel,77240,96094,23990,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D SENSATION 7G-DCT,Vert-Saint-Denis
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2020,Automatique,Diesel,95530,54000,33800,MERCEDES CLA II SHOOTING BREAK,La Frette-sur-Seine
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2017,Automatique,Diesel,69400,104000,23000,MERCEDES CLA 220 AMG FULL OPTIONS,Villefranche-sur-Saône
2015,Automatique,Diesel,49300,95890,21490,MERCEDES CLA CLASSE SHOOTING BRAKE 200D 2.2 136 BVA SPECIAL EDITION,Cholet
2017,Automatique,Hybride,13860,52500,29990,MERCEDES CLA CLASSE 250 FASCINATION 4MATIC 7G-TRON,Peyrolles-en-Provence
2019,Automatique,Diesel,38000,41000,31490,MERCEDES CLA 180 D AMG LINE 7G-DCT,Grenoble
2018,Automatique,Essence,88150,51350,34490,MERCEDES CLA CLASSE 250 2.0 I TURBO 218 CV BOÎTE AUTO,Chavelot
